muscle,coefficients
0,[18  5 27  8 26 19]
1,[11 25 19 18 14 17]
2,[ 9 18  0  7 11  5]
3,[19  2  7 26 15 25]
4,[23 24 18  3 28 22]
5,[15 24  6  0 18 28]
6,[ 8 10 28 24 27  3]
7,[15  1 12 25  0 27]
8,[17  4 26  1 29 16]
9,[15 28  6 14  5 25]
10,[19 13  3 10 27 28]
11,[ 3  5 19 16 17 27]
12,[28  1  3 14 17 22]
13,[25 24  9 14  7 12]
14,[29 24 22 17 10 25]
15,[27  5 15  6  2 16]
16,[ 2 17  3 24  5 28]
17,[25  6 21 17  9 10]
18,[23 29 13 15  2  8]
19,[25 10 22 28 19 12]
20,[26  4  7 19 25  8]
21,[25 17 21  4 24 12]
22,[ 9 14 11  7  6 13]
23,[26 27 18 17  0  8]
24,[ 3  7  9 15 27 21]
