muscle,coefficients
0,[25 11  6 19 18 17]
1,[ 2 23  0  3  7 24]
2,[ 2 23 18  4 17 14]
3,[25  8  7 29  3 19]
4,[ 8 27 17 21 15 18]
5,[19  4 21 26 22 20]
6,[14 15 12 23 28  2]
7,[ 3 16 23 19  2  5]
8,[26 25 22 14  5  9]
9,[22  8 12  4 19  5]
10,[12 27  3 18 21 15]
11,[ 6  3 20 12 15 28]
12,[21 27 26 18 22  5]
13,[23 13  1  6 12 10]
14,[18 27  7  0  6 28]
15,[ 8 17  9 11 20  6]
16,[ 6  1 28  3 19 29]
17,[14 11 16  0 17  8]
18,[22  2 10 11 26  9]
19,[20  7 21 15 22 18]
20,[17 26  5  0  8 16]
21,[12 16 10 27 23  2]
22,[19  9 28 11  1 26]
23,[25  7 16 14 11  6]
24,[ 6 25 19  7 22 26]
