muscle,coefficients
0,[22  1 20 10  3 29  0 14  5]
1,[ 1 16 13 29 18 22 23 19  5]
2,[23 14 19  7  3  9 25 27 17]
3,[10 28 19 12  1 22  3 13  8]
4,[26 17  2 14 13 11 22 21  8]
5,[16 25 19  2 28  3 20 14 27]
6,[28 22  5 13 27 11  1  4 15]
7,[18  7 14 22 16  8 21 13 25]
8,[ 7 16 18 14 29  3 19 15  5]
9,[ 8 14 29 20 21 26 10 19 13]
10,[28 13 16  2  4  1 29  5 18]
11,[ 5 11 17 18  0 14 10  7  3]
12,[28 24  0  9  3 27  1  7 23]
13,[15  5  4  9 16 25  6 20  2]
14,[ 4 22 24 18 15  5  9 11  2]
15,[ 9 22 20 25 23 11  3 10 28]
16,[16  4  9 17 10 29 13  8 27]
17,[21  3 27 20 29  7 14 23 16]
18,[24  8 26 22 19 11 20 18 16]
19,[ 8 12 13  1 23 28  2  3  0]
20,[10 27 29 11 20 26  5  9 23]
21,[ 2 20 17 13 22 12  8  4 26]
22,[22 20  7  1  6 16 21 26 28]
23,[27 14 13 29  5 10  2  1  0]
24,[28  1  7  4 27 10  0 12 11]
