muscle,coefficients
0,[11 25  5 23 20  6  1]
1,[14 23 27 28 22  8 15]
2,[24  4  1 20 15 28 11]
3,[19 10  6 17 13 22  8]
4,[16 23 27 11 22  3 10]
5,[17  7 12  1 26  8 18]
6,[29 13 28 16  2 18 17]
7,[ 4  2  5 25 14 15 11]
8,[ 3 28 20 14 24 22  8]
9,[25 19  4 11 16 26  6]
10,[ 0 10 11 17 16  5  8]
11,[19 22  7 18  9  0 24]
12,[ 1 23 22 26 21 20 16]
13,[23  3 14  5 26  4  0]
14,[10  2 16 24  4  1 29]
15,[22  7 17 15 21  5 23]
16,[ 1  2 18  0 25  7 16]
17,[ 4 16  0 12 24 20 22]
18,[10  5 25 26  1 28 14]
19,[20 18  2 10 17  0 27]
20,[21 17  6  5  4 11 16]
21,[17 11  8 23  1 20  3]
22,[18 21 23  4 24 12 14]
23,[20 14 22 24 26 23  8]
24,[ 6  7 10 14 20  2  1]
