muscle,coefficients
0,[ 6 27  8  0  1 19 20 29 24]
1,[20 29 18  5  0 14 28  2  7]
2,[10  0  2 13 29  5 19 20 17]
3,[12 13 15  6 21 17 26 11 23]
4,[24 25 17 19  3  9 20 21  8]
5,[23  6  0 13  1  7 14 27 25]
6,[10 14 21  6  3 16 20 13 15]
7,[25 15 18 11 12 26  6  4  3]
8,[23 27 19  2  5  8 21  3 18]
9,[27 15  2  7 17 12 25 11 22]
10,[ 6 29  2 17 26  5 22 12 28]
11,[18 22 14  6 12 15 29  3  4]
12,[ 9 15  2 12  1 28 29  5  0]
13,[13  4 16  0 12 11 17 25  8]
14,[18  5  9 17 20 12 15 19  7]
15,[23 13  7 15 17  6 18  3  5]
16,[25  8 21 28 24 13 12 19 27]
17,[17 16  8 11  3  1 12  5 29]
18,[12 17 18 15 23 26  3 14  2]
19,[14 12  3  9 28 13 20 19 29]
20,[13 24 10 15  6  0 23  8 14]
21,[16  9  5  0 21 10 14 23 24]
22,[16 13  5  8 22 21 18  2  4]
23,[28  8 25 22 17 11 14  5  0]
24,[ 2  4  6 28  8 18 17 10 14]
