muscle,coefficients
0,[18 17 11 12 27 21]
1,[ 5 18 29 24 20  6]
2,[ 9 16 20 13 12  1]
3,[ 8 19 21  9  6 12]
4,[21 10 20 14  6  9]
5,[ 6 19 12 26  4  8]
6,[16 23 19 15  9  3]
7,[26 15  3  5 14  6]
8,[24 16 22 28  3 25]
9,[25  9  0 19  2  8]
10,[ 5  8  6  0 28 11]
11,[25 19 15 13 14 21]
12,[26 12 11 13  8  0]
13,[21  3 27 24 11  8]
14,[17  3 16 13 24  9]
15,[23 13 14  4 20  9]
16,[13  5 10 24 20 15]
17,[15  1 19 28 22 25]
18,[29 27 10  7 15  2]
19,[29  6  7  4  2 28]
20,[14 21 27 29  2  3]
21,[15 18 26 20  7 10]
22,[16 26  2 20  8 25]
23,[24 21 22 11 17  0]
24,[10 26  1 21 20 28]
