muscle,coefficients
0,[29  2  8 22 11 18 28 19]
1,[23  9  8  2 19 12  7  0]
2,[19  2 11 23 14 16  8 26]
3,[16 22 24 29 13  2  0 26]
4,[ 6 13  1  5  8 29 18 19]
5,[ 1  2 21 15 26  4  0 22]
6,[ 4  8  6 21 20 17  1 28]
7,[12  6  8 13 14  5 26  1]
8,[ 3 16 25 21 19 28 29  4]
9,[11 29  1  5 26 20  4 27]
10,[ 7  8 16  2 25 21 19  9]
11,[18 26 25 23 27 11 16 19]
12,[25 19  7 24 20 11  4  9]
13,[18  2 21 25 28  9  8 24]
14,[26  9 19  6 22 11 12 27]
15,[10  5  1  7 14 12  3  9]
16,[ 3 16 27 13  9  1  0  8]
17,[27 26 29 24 14 13 22  4]
18,[23 15  6  9 18  4 12 26]
19,[ 4 15  0 25 20 18 17 14]
20,[21  4 26 22 13 29  9 28]
21,[23  1 17 12 25 29  8 26]
22,[21 16 29  2  9 15  5 14]
23,[29  7  2 14 11  6  3 18]
24,[18  1 25 16 17 21 14  2]
