muscle,coefficients
0,[19  5 28 12  6  7 20]
1,[25 10  3 14 16 29  0]
2,[11 19 29 26 18  4 14]
3,[ 1  4 17  8  3 27 21]
4,[26  7 21 12 25 18 22]
5,[ 8 11  2 18 28 19  3]
6,[ 5 12 25  6 17 15 20]
7,[22 21  9 23  0  8  4]
8,[27  8 22 16  5  0 23]
9,[23 10 14  8 26 24  6]
10,[25  7 23 14 20 22  0]
11,[22 14  2 16 26 29  3]
12,[20 19  8  3  5  1 28]
13,[ 2 19 10  0 20  1 23]
14,[17 27 24 11 26 28 19]
15,[19 17 15  7 21 28  4]
16,[20 10 17  7  6  5 11]
17,[ 3 21  1 11 27 18 10]
18,[ 7 16  2 10 26  5 21]
19,[ 1  0  7 23 18 13 14]
20,[29 10 16 19 18  1 21]
21,[22 15  3  9 10 21 19]
22,[17 14  6 12  9  1 10]
23,[20 28  6 12 18 14  0]
24,[12  5  8 18 10 15 13]
